_id,Name,Code,date,High,Low,Open,Close,Last,Total_Trade_Quantity,Turnover_in_Lakhs,Sector,Index
ObjectId(58d10298e9804518868d97d1),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-08-07T00:00:00.000Z,39.85,39,39.5,39.7,39.75,2.750743e+06,1082.42,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97d2),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-08-14T00:00:00.000Z,39.6,38.95,39.45,39.1,39.15,1.033854e+06,405.78,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97d3),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-08-21T00:00:00.000Z,40.25,39.15,39.45,39.95,40.1,1.700525e+06,674.72,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97d4),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-08-28T00:00:00.000Z,40.55,39.55,40.35,40,39.95,1.844355e+06,738.17,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97d5),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-09-04T00:00:00.000Z,42.5,41.55,41.9,41.8,41.95,2.218764e+06,929.23,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97d6),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-09-11T00:00:00.000Z,42.1,40.9,41.45,41.35,41.5,3.877452e+06,1601.01,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97d7),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-09-18T00:00:00.000Z,44.9,42.45,44,43.15,43.25,8.769003e+06,3849.09,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97d8),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-09-25T00:00:00.000Z,46.3,44.65,45.5,44.95,44.85,8.970839e+06,4090.53,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97d9),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-10-02T00:00:00.000Z,44.95,43,43,44.5,44.45,6.393517e+06,2821.46,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97da),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-10-09T00:00:00.000Z,48.5,47.3,48,47.85,47.95,8.094159e+06,3871.92,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97db),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-10-16T00:00:00.000Z,48.3,42.65,47.2,43.8,44.25,3.2553946e+07,14827.07,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97dc),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-10-23T00:00:00.000Z,44.7,43.85,44.15,44.4,44.35,4.148096e+06,1836.46,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97dd),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-10-30T00:00:00.000Z,45.4,44.55,44.55,45.1,45,1.270094e+06,572.51,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97de),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-11-06T00:00:00.000Z,42.95,40.65,42.5,40.9,41.1,5.156205e+06,2134.16,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97df),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-11-13T00:00:00.000Z,41.5,39.55,41.5,39.85,39.8,2.735889e+06,1102.12,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97e0),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-11-20T00:00:00.000Z,38.1,36.85,37.9,37.55,37.8,2.129113e+06,798.31,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97e1),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-11-27T00:00:00.000Z,37.2,35.55,35.6,36.8,36.7,3.201196e+06,1168.67,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97e2),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-12-04T00:00:00.000Z,37.7,36.8,37.3,36.95,37.15,1.159005e+06,430.99,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97e3),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-12-11T00:00:00.000Z,39.2,37.9,38.1,38.6,38.55,2.667264e+06,1030.18,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97e4),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-12-18T00:00:00.000Z,38.5,37.8,38.4,37.95,38,1.537136e+06,585.29,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97e5),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-12-25T00:00:00.000Z,36.8,36.15,36.6,36.25,36.35,3.008544e+06,1095.46,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97e6),TV18 Broadcast Limited,NSE/TV18BRDCST,2017-01-01T00:00:00.000Z,37.65,36.1,37,36.4,36.45,2.168696e+06,799.52,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97e7),United Breweries Limited,NSE/UBL,2016-01-03T00:00:00.000Z,955,940.5,941.95,943.7,947,61876,586.2,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97e8),United Breweries Limited,NSE/UBL,2016-01-10T00:00:00.000Z,942.25,909.05,930.95,913,912.65,166529,1534.78,CONSUMER GOODS,NIFTY FMCG
